Source	Target
ASCL1	XKR4
DPPA5A	XKR4
JARID2	XKR4
KLF4	XKR4
MYOD1	XKR4
NRIP1	XKR4
PRDM14	XKR4
RHOX6	XKR4
RXRA	XKR4
SALL4	XKR4
TCF3	XKR4
TUBA1A	XKR4
ZSCAN4C	XKR4
AES	SOX17
ASCL1	SOX17
ASCL2	SOX17
ESX1	SOX17
FEM1B	SOX17
GATA3	SOX17
KLF4	SOX17
MSC	SOX17
MYOD1	SOX17
NANOG	SOX17
NR5A2	SOX17
POU5F1	SOX17
RXRA	SOX17
SALL4	SOX17
SMAD7	SOX17
SOX17	0610005K03RIK
SOX17	0610012A05RIK
SOX17	0610025L06RIK
SOX17	1110028A07RIK
SOX17	1200003O06RIK
SOX17	1200006F02RIK
SOX17	1200009I06RIK
SOX17	1200011M11RIK
SOX17	1500012F01RIK
SOX17	1700007J06RIK
SOX17	1700027A23RIK
SOX17	1700027D21RIK
SOX17	1700049K14RIK
SOX17	1810020G14RIK
SOX17	1810037B05RIK
SOX17	2010002A20RIK
SOX17	2010004J24RIK
SOX17	2010305A19RIK
SOX17	2010323F13RIK
SOX17	2300002G24RIK
SOX17	2310007B03RIK
SOX17	2310016F22RIK
SOX17	2310042N02RIK
SOX17	2310044D20RIK
SOX17	2310045A20RIK
SOX17	2310046K10RIK
SOX17	2310057N15RIK
SOX17	2310061C15RIK
SOX17	2410008J05RIK
SOX17	2410015A16RIK
SOX17	2510005D08RIK
SOX17	2610200G18RIK
SOX17	2610208M17RIK
SOX17	2700038I16RIK
SOX17	2700055K07RIK
SOX17	2810432D09RIK
SOX17	2810468K17RIK
SOX17	2810471M23RIK
SOX17	2900041A09RIK
SOX17	3000004N20RIK
SOX17	3110003A22RIK
SOX17	3110009E18RIK
SOX17	3110050N22RIK
SOX17	3110057O12RIK
SOX17	4631423F02RIK
SOX17	4632404H22RIK
SOX17	4732473B16RIK
SOX17	4832406C22
SOX17	4930404H21RIK
SOX17	4930418P06RIK
SOX17	4930430A15RIK
SOX17	4930433I11RIK
SOX17	4930471O16RIK
SOX17	4930562D19RIK
SOX17	4930579C15RIK
SOX17	4930579G22RIK
SOX17	4930588M11RIK
SOX17	4933406J04RIK
SOX17	4933421E11RIK
SOX17	4933425M15RIK
SOX17	4933437K13RIK
SOX17	5133400G04RIK
SOX17	5330410G16RIK
SOX17	5330439C02RIK
SOX17	5430432M24RIK
SOX17	5730419I09RIK
SOX17	5730446D14RIK
SOX17	5830434P21RIK
SOX17	5830457H20RIK
SOX17	6330548O06RIK
SOX17	6430527G18RIK
SOX17	7420416P09RIK
SOX17	8430415E04RIK
SOX17	9130210N20RIK
SOX17	9130211I03RIK
SOX17	9430041C03RIK
SOX17	9630046K23RIK
SOX17	A130038H09RIK
SOX17	A230063L24RIK
SOX17	A330080J22RIK
SOX17	A530023O14RIK
SOX17	A630024B12RIK
SOX17	A730024A03RIK
SOX17	A730024F05RIK
SOX17	A730039N16RIK
SOX17	A930027H06RIK
SOX17	AA536743
SOX17	AA536749
SOX17	AA960558
SOX17	AADAC
SOX17	ABCC12
SOX17	ACAS2L
SOX17	ACE
SOX17	ACTA1
SOX17	ACTB
SOX17	ACTC1
SOX17	ACTG2
SOX17	ACTN3
SOX17	ADAM19
SOX17	ADAM1B
SOX17	AGPT
SOX17	AI427138
SOX17	AI481750
SOX17	AK4
SOX17	AKR1C20
SOX17	AMOT
SOX17	AMY2
SOX17	ANAPC10
SOX17	ANAPC11
SOX17	ANK1
SOX17	ANKRD27
SOX17	ANKRD34
SOX17	ANXA8
SOX17	AP1M2
SOX17	APOBEC1
SOX17	ARCH
SOX17	ARHGDIG
SOX17	ARL4C
SOX17	ARVCF
SOX17	ASAH1
SOX17	ATAD1
SOX17	ATOH1
SOX17	ATP1B1
SOX17	ATP2B3
SOX17	ATP6AP2
SOX17	AW549877
SOX17	B020031M17RIK
SOX17	B230317C12RIK
SOX17	B930041F14RIK
SOX17	BB014433
SOX17	BC017634
SOX17	BC022692
SOX17	BC024997
SOX17	BC027057
SOX17	BC031140
SOX17	BC048502
SOX17	BC049354
SOX17	BC055107
SOX17	BC057371
SOX17	BC065085
SOX17	BC117090
SOX17	BCAN
SOX17	BCL11B
SOX17	BCMO1
SOX17	BIRC1A
SOX17	BOK
SOX17	BPIL2
SOX17	BRP17
SOX17	BRSK2
SOX17	BTG1
SOX17	C030011J08RIK
SOX17	C130022K22RIK
SOX17	C86987
SOX17	CACNA1B
SOX17	CACNG3
SOX17	CALCR
SOX17	CALU
SOX17	CANX
SOX17	CAPN11
SOX17	CAR4
SOX17	CARD10
SOX17	CBR3
SOX17	CBX3
SOX17	CCKBR
SOX17	CD8A
SOX17	CD97
SOX17	CDC42EP5
SOX17	CDX1
SOX17	CENPC1
SOX17	CENTA1
SOX17	CENTG2
SOX17	CGGBP1
SOX17	CHRDL1
SOX17	CLCA3
SOX17	CLDN11
SOX17	CLDN6
SOX17	CLDN7
SOX17	CLEC4A3
SOX17	CML2
SOX17	CMTM7
SOX17	CMTM8
SOX17	CNN1
SOX17	COCH
SOX17	COL4A1
SOX17	COL4A2
SOX17	COL4A6
SOX17	CRIP2
SOX17	CRK
SOX17	CRYBA1
SOX17	CRYGE
SOX17	CRYGS
SOX17	CSDE1
SOX17	CSN3
SOX17	CSNK1E
SOX17	CSPG6
SOX17	CSRP3
SOX17	CTS8
SOX17	CTSJ
SOX17	CXCL16
SOX17	CXCL4
SOX17	CXX1A
SOX17	CYP2C70
SOX17	CYP3A25
SOX17	CYP4F14
SOX17	D0H4S114
SOX17	D10ERTD802E
SOX17	D130040H23RIK
SOX17	D130049O21RIK
SOX17	D14ERTD449E
SOX17	D630003M21RIK
SOX17	D6WSU176E
SOX17	D930050H05RIK
SOX17	DAPK3
SOX17	DARS
SOX17	DDIT3
SOX17	DEPDC1A
SOX17	DHRS7
SOX17	DIRAS1
SOX17	DKK2
SOX17	DLK1
SOX17	DNAJC6
SOX17	DOK2
SOX17	DOK6
SOX17	DPEP2
SOX17	DPP7
SOX17	DPYSL5
SOX17	DUSP14
SOX17	E430018J23RIK
SOX17	EEF1A2
SOX17	EEF1D
SOX17	EG13909
SOX17	EG317677
SOX17	EG545391
SOX17	EGR4
SOX17	EHF
SOX17	EIF2C4
SOX17	EIF2S3Y
SOX17	EIF4A2
SOX17	ENAM
SOX17	ENO3
SOX17	EPHA1
SOX17	EPHB6
SOX17	ERDR1
SOX17	ERO1L
SOX17	ESPN
SOX17	EZH2
SOX17	FBP2
SOX17	FBXL15
SOX17	FCRLA
SOX17	FEM1B
SOX17	FGB
SOX17	FGD2
SOX17	FGF17
SOX17	FGF8
SOX17	FGFBP1
SOX17	FKBP10
SOX17	FMO5
SOX17	FOLR1
SOX17	FOXE1
SOX17	FOXK1
SOX17	FPR1
SOX17	FXC1
SOX17	FZD10
SOX17	FZD7
SOX17	GAD1
SOX17	GAL
SOX17	GAL3ST1
SOX17	GALR2
SOX17	GATA6
SOX17	GA_X5J8B7W4T2P-84764-83847
SOX17	GBAS
SOX17	GBP1
