Source	Target
PTBP1	NOC2L
AGO2	NOC2L
TAF15	NOC2L
DROSHA	NOC2L
RBM39	NOC2L
HNRNPUL1	NOC2L
CIZ1	NOC2L
NFYB	NOC2L
STAT5	KLHL17
TARDBP	KLHL17
PTBP1	KLHL17
AGO2	KLHL17
SRSF7	KLHL17
SRSF9	KLHL17
PCBP2	KLHL17
PCBP1	KLHL17
TAF15	KLHL17
RBM34	KLHL17
BCLAF1	KLHL17
RBM15	KLHL17
NONO	KLHL17
ILF2	KLHL17
SRSF4	KLHL17
PSIP1	KLHL17
SSB	KLHL17
RBM22	KLHL17
U2AF2	KLHL17
CHD2	KLHL17
BRCA1	KLHL17
CDC5L	KLHL17
CIZ1	KLHL17
MARK2	KLHL17
NFYB	KLHL17
NKRF	KLHL17
RPS3	KLHL17
SMAD2	KLHL17
SMAD5	KLHL17
TARDBP	AGRN
PTBP1	AGRN
SRSF9	AGRN
PCBP2	AGRN
TAF15	AGRN
BCLAF1	AGRN
RBM15	AGRN
RAD21	AGRN
CHD2	AGRN
FUBP1	AGRN
MARK2	AGRN
NFYB	AGRN
NKRF	AGRN
SMAD2	AGRN
SMAD5	AGRN
XRCC5	AGRN
TARDBP	C1orf159
PTBP1	C1orf159
AGO2	C1orf159
SRSF9	C1orf159
PCBP2	C1orf159
PCBP1	C1orf159
RBFOX2	C1orf159
TAF15	C1orf159
RBM34	C1orf159
BCLAF1	C1orf159
NONO	C1orf159
ILF2	C1orf159
SRSF4	C1orf159
PSIP1	C1orf159
SSB	C1orf159
U2AF1	C1orf159
RBM22	C1orf159
U2AF2	C1orf159
RBM15	C1orf159
CIZ1	C1orf159
MARK2	C1orf159
NFYB	C1orf159
NKRF	C1orf159
PAN2	C1orf159
SMAD2	C1orf159
SMAD5	C1orf159
STAT1	C1orf159
TARDBP	SDF4
PTBP1	SDF4
SRSF9	SDF4
RBFOX2	SDF4
TAF15	SDF4
RBM34	SDF4
U2AF1	SDF4
RBM22	SDF4
U2AF2	SDF4
RBM15	SDF4
FUBP1	SDF4
MARK2	SDF4
NFYB	SDF4
NKRF	SDF4
TARDBP	UBE2J2
PTBP1	UBE2J2
RBM39	UBE2J2
RBM22	UBE2J2
NFYB	UBE2J2
NKRF	UBE2J2
RPS3	UBE2J2
TARDBP	ACAP3
SRSF9	ACAP3
PCBP2	ACAP3
RBM34	ACAP3
BCLAF1	ACAP3
DROSHA	ACAP3
ILF3	ACAP3
NONO	ACAP3
RBM39	ACAP3
HNRNPUL1	ACAP3
RBM22	ACAP3
RAD21	ACAP3
TAL1	ACAP3
FUBP1	ACAP3
MARK2	ACAP3
NFYB	ACAP3
NKRF	ACAP3
PAN2	ACAP3
RPS3	ACAP3
SMAD2	ACAP3
SMAD5	ACAP3
XRCC5	ACAP3
TARDBP	DVL1
PTBP1	DVL1
AGO2	DVL1
SRSF9	DVL1
PCBP2	DVL1
HNRNPK	DVL1
TAF15	DVL1
RBM34	DVL1
BCLAF1	DVL1
NONO	DVL1
ILF2	DVL1
SRSF4	DVL1
U2AF1	DVL1
RBM22	DVL1
U2AF2	DVL1
RBM15	DVL1
CHD2	DVL1
CDC5L	DVL1
CIZ1	DVL1
MARK2	DVL1
NFYB	DVL1
NKRF	DVL1
PAN2	DVL1
SMAD2	DVL1
SMAD5	DVL1
TARDBP	AURKAIP1
PTBP1	AURKAIP1
AGO2	AURKAIP1
SRSF7	AURKAIP1
SRSF9	AURKAIP1
TAF15	AURKAIP1
RBM34	AURKAIP1
FIP1L1	AURKAIP1
NONO	AURKAIP1
RBM39	AURKAIP1
ILF2	AURKAIP1
U2AF1	AURKAIP1
RBM22	AURKAIP1
U2AF2	AURKAIP1
RBM15	AURKAIP1
TCP1	AURKAIP1
NFYB	AURKAIP1
NKRF	AURKAIP1
SMAD2	AURKAIP1
PTBP1	CCNL2
ILF2	CCNL2
NFYB	CCNL2
PTBP1	MRPL20
AGO2	MRPL20
TAF15	MRPL20
RBM39	MRPL20
HNRNPUL1	MRPL20
RBM25	MRPL20
RBM22	MRPL20
NFYB	MRPL20
TARDBP	ATAD3B
PTBP1	ATAD3B
AGO2	ATAD3B
SRSF9	ATAD3B
PCBP2	ATAD3B
TAF15	ATAD3B
RBM34	ATAD3B
ILF2	ATAD3B
FUS	ATAD3B
AGO1	ATAD3B
SSB	ATAD3B
RBM22	ATAD3B
RBM15	ATAD3B
CIZ1	ATAD3B
NFYB	ATAD3B
NKRF	ATAD3B
SMAD5	ATAD3B
TARDBP	ATAD3A
PTBP1	ATAD3A
AGO2	ATAD3A
SRSF7	ATAD3A
SRSF9	ATAD3A
PCBP2	ATAD3A
TAF15	ATAD3A
RBM34	ATAD3A
BCLAF1	ATAD3A
DROSHA	ATAD3A
NONO	ATAD3A
RBM39	ATAD3A
ILF2	ATAD3A
SRSF4	ATAD3A
FUS	ATAD3A
HNRNPUL1	ATAD3A
RBM22	ATAD3A
RBM15	ATAD3A
CDC5L	ATAD3A
CIZ1	ATAD3A
NFYB	ATAD3A
NKRF	ATAD3A
PAN2	ATAD3A
SMAD2	ATAD3A
TARDBP	SSU72
PTBP1	SSU72
AGO2	SSU72
HNRNPK	SSU72
FIP1L1	SSU72
RBM22	SSU72
RBM15	SSU72
CDC5L	SSU72
NFYB	SSU72
TARDBP	MIB2
AGO2	MIB2
SRSF9	MIB2
PCBP2	MIB2
HNRNPK	MIB2
RBM17	MIB2
RBFOX2	MIB2
TAF15	MIB2
RBM34	MIB2
BCLAF1	MIB2
FIP1L1	MIB2
NONO	MIB2
HNRNPUL1	MIB2
PSIP1	MIB2
SSB	MIB2
RBM22	MIB2
U2AF2	MIB2
RBM15	MIB2
CHD2	MIB2
TAL1	MIB2
FUBP1	MIB2
MARK2	MIB2
NFYB	MIB2
NKRF	MIB2
PAN2	MIB2
SMAD2	MIB2
SMAD5	MIB2
XRCC5	MIB2
PTBP1	CDK11B
PCBP2	CDK11B
HNRNPUL1	CDK11B
TAF15	CDK11B
CDC5L	CDK11B
MARK2	CDK11B
NFYB	CDK11B
NKRF	CDK11B
STAT5	SLC35E2B
TARDBP	SLC35E2B
AGO2	SLC35E2B
SRSF9	SLC35E2B
RBM15	SLC35E2B
TAF15	SLC35E2B
NFYB	SLC35E2B
TARDBP	CDK11A
PCBP2	CDK11A
PSIP1	CDK11A
RBM22	CDK11A
U2AF2	CDK11A
CDC5L	CDK11A
MARK2	CDK11A
NFYB	CDK11A
NKRF	CDK11A
TARDBP	NADK
PCBP2	NADK
TAF15	NADK
RBM22	NADK
RBM15	NADK
CDC5L	NADK
MARK2	NADK
NFYB	NADK
ATF2	GNB1
NFYB	GNB1
NKRF	GNB1
TARDBP	PRKCZ
AGO2	PRKCZ
SRSF7	PRKCZ
SRSF9	PRKCZ
PCBP2	PRKCZ
TAF15	PRKCZ
RBM34	PRKCZ
BCLAF1	PRKCZ
FIP1L1	PRKCZ
RBM25	PRKCZ
MAFK	PRKCZ
LMNB1	PRKCZ
CIZ1	PRKCZ
MARK2	PRKCZ
NFYB	PRKCZ
NKRF	PRKCZ
STAT1	PRKCZ
TARDBP	SKI
POLR2G	SKI
PTBP1	SKI
AGO2	SKI
PCBP2	SKI
RBM34	SKI
RBM15	SKI
ILF3	SKI
RBM39	SKI
RBM22	SKI
STAT5A	SKI
CDC5L	SKI
NFYB	SKI
TARDBP	MORN1
AGO2	MORN1
SRSF7	MORN1
SRSF9	MORN1
HNRNPK	MORN1
RBM34	MORN1
RBM15	MORN1
CCAR2	MORN1
RBM39	MORN1
HNRNPL	MORN1
TAF15	MORN1
U2AF1	MORN1
RBM25	MORN1
RBM22	MORN1
U2AF2	MORN1
TAL1	MORN1
BRCA1	MORN1
ZNF384	MORN1
CDC5L	MORN1
FUBP1	MORN1
NFYB	MORN1
NUP35	MORN1
RPS3	MORN1
DROSHA	RER1
MARK2	RER1
NKRF	RER1
RPS3	RER1
STAT5	PANK4
AGO2	PANK4
MARK2	PANK4
NFYB	PANK4
NKRF	PANK4
SMAD2	PANK4
PCBP1	DFFB
FIP1L1	DFFB
CDC5L	DFFB
NFYB	DFFB
NKRF	DFFB
STAT5	C1orf174
AGO2	C1orf174
NFYB	C1orf174
TARDBP	NPHP4
TAF15	NPHP4
PTBP1	NPHP4
RBM39	NPHP4
RBM25	NPHP4
RBM15	NPHP4
STAT5	KCNAB2
TARDBP	KCNAB2
POLR2G	KCNAB2
HNRNPK	KCNAB2
PTBP1	KCNAB2
FIP1L1	KCNAB2
HNRNPL	KCNAB2
U2AF1	KCNAB2
U2AF2	KCNAB2
ATF3	KCNAB2
BHLHE40	KCNAB2
CHD1	KCNAB2
FUBP1	KCNAB2
NFYB	KCNAB2
XRCC5	KCNAB2
ATF2	RPL22
STAT5	RPL22
PSIP1	RPL22
MARK2	RPL22
TARDBP	RNF207
