Source	Target
LDB1	LINC01128
SPI1	LINC01128
EGR2	LINC01128
RAD21	LINC01128
SREBF2	LINC01128
RAD21	NOC2L
SPI1	NOC2L
SREBF2	NOC2L
CEBPB	ISG15
SREBF2	ISG15
SPI1	ISG15
CREBBP	ISG15
LDB1	ISG15
ATF2	ISG15
RAD21	ISG15
EPAS1	ISG15
EGR2	ISG15
HIF1A	ISG15
SREBF2	AGRN
SPI1	AGRN
CTCF	AGRN
NR3C1	AGRN
RAD21	AGRN
SMC1A	AGRN
LDB1	AGRN
SREBF2	C1orf159
LDB1	C1orf159
SPI1	C1orf159
NR3C1	C1orf159
ATF2	C1orf159
SMC1A	C1orf159
RAD21	C1orf159
CTCF	C1orf159
SREBF2	SDF4
SPI1	SDF4
YY1	SDF4
INTS13	SDF4
ATF2	SDF4
SPI1	UBE2J2
CEBPB	UBE2J2
SMC1A	UBE2J2
MAF	UBE2J2
YY1	UBE2J2
SREBF2	UBE2J2
ATF2	UBE2J2
SPI1	ACAP3
CEBPB	ACAP3
SREBF2	INTS11
ATF2	INTS11
SPI1	INTS11
CTCF	AURKAIP1
RAD21	AURKAIP1
SMC1A	AURKAIP1
SREBF2	AURKAIP1
SPI1	AURKAIP1
EGR1	AURKAIP1
LDB1	AURKAIP1
NR3C1	AURKAIP1
CHD4	AURKAIP1
CEBPB	CCNL2
SREBF2	CCNL2
INTS13	CCNL2
SPI1	CCNL2
SPI1	MRPL20
SREBF2	MRPL20
INTS13	MRPL20
SPI1	ATAD3B
SREBF2	ATAD3B
SMC1A	ATAD3B
ATF2	ATAD3B
LDB1	ATAD3B
CTCF	ATAD3A
RAD21	ATAD3A
SREBF2	ATAD3A
SPI1	ATAD3A
SMC1A	ATAD3A
SP140	ATAD3A
ATF2	ATAD3A
LDB1	ATAD3A
SMC1A	SSU72
SPI1	SSU72
RAD21	SSU72
YY1	SSU72
INTS13	SSU72
SREBF2	SSU72
SREBF2	MIB2
CEBPB	MIB2
HIF1A	MIB2
SPI1	MIB2
EGR1	MIB2
ATF2	MIB2
LDB1	MIB2
NAB2	MIB2
RAD21	MIB2
SMC1A	MIB2
SPI1	CDK11B
SREBF2	CDK11B
SMC1A	CDK11B
EGR1	CDK11B
CTCF	CDK11B
RAD21	CDK11B
SP140	CDK11B
SPI1	SLC35E2B
CEBPB	SLC35E2B
SREBF2	SLC35E2B
SMC1A	SLC35E2B
EGR1	SLC35E2B
LDB1	SLC35E2B
CTCF	SLC35E2B
RAD21	CDK11A
CTCF	CDK11A
SMC1A	CDK11A
SREBF2	CDK11A
SPI1	CDK11A
EGR1	CDK11A
LDB1	CDK11A
ATF2	CDK11A
CEBPB	SLC35E2A
SPI1	SLC35E2A
SREBF2	SLC35E2A
LDB1	SLC35E2A
SMC1A	SLC35E2A
RAD21	SLC35E2A
SP140	SLC35E2A
SPI1	NADK
SREBF2	NADK
CEBPB	NADK
SMC1A	NADK
RAD21	NADK
LDB1	NADK
CTCF	NADK
MAF	NADK
ATF2	NADK
CREBBP	NADK
EGR1	NADK
SREBF2	GNB1
SPI1	GNB1
RAD21	GNB1
CEBPB	GNB1
MAF	GNB1
SMC1A	GNB1
INTS13	GNB1
SPI1	FAAP20
INTS13	FAAP20
EGR1	FAAP20
SMC1A	FAAP20
RAD21	FAAP20
CTCF	FAAP20
SREBF2	FAAP20
NAB2	FAAP20
MAF	FAAP20
CEBPB	FAAP20
ATF2	FAAP20
SPI1	SKI
SMC1A	SKI
SREBF2	SKI
CEBPB	SKI
CREBBP	SKI
RAD21	SKI
MAF	SKI
HIF1A	SKI
EGR1	SKI
SREBF2	RER1
EGR1	RER1
SPI1	RER1
LDB1	RER1
SREBF2	PEX10
LDB1	PEX10
SPI1	PEX10
ATF2	PEX10
SMC1A	PEX10
RAD21	PEX10
CTCF	PEX10
NR3C1	PEX10
SREBF2	TNFRSF14
INTS13	TNFRSF14
SPI1	TNFRSF14
CEBPB	TNFRSF14
RAD21	TNFRSF14
SMC1A	TNFRSF14
CTCF	TNFRSF14
LDB1	TNFRSF14
EPAS1	TNFRSF14
HIF1A	TNFRSF14
CREBBP	TNFRSF14
SPI1	PRXL2B
SREBF2	PRXL2B
SMC1A	PRXL2B
RAD21	PRXL2B
CREBBP	PRXL2B
EPAS1	PRXL2B
HIF1A	PRXL2B
CTCF	PRXL2B
CEBPB	PRXL2B
INTS13	PRXL2B
ATF2	PRXL2B
MAF	PRXL2B
SMC1A	TPRG1L
RAD21	TPRG1L
CTCF	TPRG1L
SREBF2	TPRG1L
EGR1	TPRG1L
ATF2	TPRG1L
CEBPB	TPRG1L
SPI1	TPRG1L
LDB1	TPRG1L
SPI1	WRAP73
LDB1	WRAP73
RAD21	LRRC47
SPI1	LRRC47
INTS13	LRRC47
SREBF2	LRRC47
CTCF	LRRC47
SMC1A	LRRC47
CEBPB	LRRC47
MAF	LRRC47
SPI1	CEP104
SREBF2	DFFB
ATF2	DFFB
SPI1	DFFB
SMC1A	DFFB
CEBPB	DFFB
MAF	DFFB
RAD21	NPHP4
CTCF	NPHP4
SMC1A	NPHP4
SPI1	NPHP4
SREBF2	NPHP4
LDB1	KCNAB2
SPI1	KCNAB2
MAF	KCNAB2
SMC1A	KCNAB2
SREBF2	KCNAB2
NR3C1	KCNAB2
CEBPB	KCNAB2
CREBBP	KCNAB2
HIF1A	KCNAB2
CTCF	KCNAB2
RAD21	KCNAB2
EGR1	KCNAB2
SP140	RPL22
ATF2	RPL22
SREBF2	RPL22
SPI1	RPL22
LDB1	RPL22
EGR1	RPL22
SPI1	ICMT
MAF	ICMT
ATF2	ICMT
LDB1	ICMT
SPI1	ACOT7
RAD21	ACOT7
CTCF	ACOT7
SMC1A	ACOT7
SREBF2	ACOT7
EGR1	ACOT7
CEBPB	ACOT7
SPI1	NOL9
CEBPB	NOL9
LDB1	NOL9
SREBF2	NOL9
RAD21	NOL9
CTCF	NOL9
SMC1A	NOL9
INTS13	NOL9
SMC1A	ZBTB48
LDB1	ZBTB48
SREBF2	ZBTB48
SPI1	ZBTB48
CEBPB	ZBTB48
EGR2	ZBTB48
SPI1	KLHL21
CEBPB	KLHL21
SREBF2	KLHL21
SPI1	DNAJC11
SREBF2	DNAJC11
YY1	DNAJC11
CTCF	DNAJC11
LDB1	DNAJC11
CEBPB	DNAJC11
SMC1A	DNAJC11
